Bacterial_ID,Treatment,Growth1,Growth2,Growth3,Hour
294-BP,MF,0.138,0.138,0.138,0
294-BP,MF,0.139,0.139,0.14,0.5
294-BP,MF,0.14,0.139,0.141,1
294-BP,MF,0.142,0.14,0.144,1.5
294-BP,MF,0.142,0.143,0.147,2
294-BP,MF,0.141,0.146,0.152,2.5
294-BP,MF,0.142,0.148,0.157,3
294-BP,MF,0.141,0.148,0.162,3.5
294-BP,MF,0.141,0.156,0.162,4
294-BP,MF,0.143,0.167,0.17,4.5
294-BP,MF,0.139,0.174,0.177,5
294-BP,MF,0.141,0.157,0.169,5.5
294-BP,MF,0.143,0.157,0.172,6
294-BP,MF,0.143,0.162,0.17,6.5
294-BP,MF,0.143,0.167,0.179,7
294-BP,MF,0.147,0.175,0.187,7.5
294-BP,MF,0.149,0.186,0.199,8
294-BP,MF,0.151,0.189,0.189,8.5
294-BP,MF,0.147,0.193,0.205,9
294-BP,MF,0.147,0.197,0.187,9.5
294-BP,MF,0.15,0.197,0.187,10
294-BP,MF,0.152,0.191,0.196,10.5
294-BP,MF,0.153,0.2,0.202,11
294-BP,MF,0.157,0.208,0.192,11.5
294-BP,MF,0.16,0.215,0.216,12
294-BP,MF,0.176,0.23,0.224,12.5
294-BP,MF,0.167,0.239,0.219,13
294-BP,MF,0.165,0.251,0.21,13.5
294-BP,MF,0.181,0.265,0.208,14
294-BP,MF,0.184,0.275,0.19,14.5
294-BP,MF,0.195,0.284,0.193,15
294-BP,MF,0.192,0.29,0.211,15.5
294-BP,MF,0.206,0.287,0.222,16
294-BP,MF,0.195,0.288,0.212,16.5
294-BP,MF,0.18,0.297,0.226,17
294-BP,MF,0.165,0.31,0.218,17.5
294-BP,MF,0.175,0.309,0.206,18
294-BP,MF,0.177,0.286,0.212,18.5
294-BP,MF,0.188,0.256,0.211,19
294-BP,MF,0.179,0.222,0.202,19.5
294-BP,MF,0.181,0.195,0.211,20
294-BP,MF,0.19,0.175,0.211,20.5
294-BP,MF,0.181,0.161,0.211,21
294-BP,MF,0.193,0.152,0.212,21.5
294-BP,MF,0.167,0.154,0.186,22
294-BP,MF,0.177,0.16,0.198,22.5
294-BP,MF,0.18,0.171,0.177,23
294-BP,MF,0.166,0.163,0.176,23.5
294-BP,MF,0.166,0.165,0.158,24
299-BP,M,0.143,0.14,0.14,0
299-BP,M,0.145,0.142,0.14,0.5
299-BP,M,0.144,0.144,0.142,1
299-BP,M,0.145,0.148,0.145,1.5
299-BP,M,0.146,0.151,0.148,2
299-BP,M,0.146,0.154,0.15,2.5
299-BP,M,0.146,0.16,0.154,3
299-BP,M,0.147,0.175,0.166,3.5
299-BP,M,0.148,0.182,0.179,4
299-BP,M,0.146,0.181,0.193,4.5
299-BP,M,0.145,0.185,0.184,5
299-BP,M,0.146,0.189,0.185,5.5
299-BP,M,0.147,0.201,0.178,6
299-BP,M,0.147,0.196,0.183,6.5
299-BP,M,0.15,0.185,0.185,7
299-BP,M,0.153,0.213,0.186,7.5
299-BP,M,0.158,0.213,0.19,8
299-BP,M,0.157,0.212,0.199,8.5
299-BP,M,0.156,0.219,0.207,9
299-BP,M,0.154,0.25,0.21,9.5
299-BP,M,0.154,0.219,0.214,10
299-BP,M,0.158,0.228,0.221,10.5
299-BP,M,0.164,0.235,0.241,11
299-BP,M,0.163,0.242,0.23,11.5
299-BP,M,0.17,0.269,0.233,12
299-BP,M,0.164,0.268,0.234,12.5
299-BP,M,0.169,0.274,0.233,13
299-BP,M,0.189,0.331,0.249,13.5
299-BP,M,0.192,0.329,0.236,14
299-BP,M,0.198,0.311,0.222,14.5
299-BP,M,0.179,0.299,0.221,15
299-BP,M,0.194,0.309,0.229,15.5
299-BP,M,0.195,0.302,0.253,16
299-BP,M,0.195,0.351,0.244,16.5
299-BP,M,0.227,0.36,0.2,17
299-BP,M,0.205,0.316,0.2,17.5
299-BP,M,0.191,0.296,0.212,18
299-BP,M,0.183,0.298,0.219,18.5
299-BP,M,0.17,0.298,0.208,19
299-BP,M,0.212,0.345,0.21,19.5
299-BP,M,0.186,0.339,0.202,20
299-BP,M,0.146,0.336,0.198,20.5
299-BP,M,0.146,0.317,0.202,21
299-BP,M,0.214,0.288,0.21,21.5
299-BP,M,0.142,0.257,0.223,22
299-BP,M,0.158,0.241,0.21,22.5
299-BP,M,0.171,0.243,0.214,23
299-BP,M,0.175,0.247,0.219,23.5
299-BP,M,0.164,0.238,0.209,24
