Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
2:30:00,24.2,0.081,0.081,0.08,0.084,0.081,0.101,0.081,0.082,0.079,0.146,0.13,0.154,0.128,0.15,0.132,0.081,0.084,0.127,0.132,0.126,0.126,0.127,0.131,0.081,0.08,0.141,0.133,0.146,0.126,0.152,0.131,0.081,0.083,0.126,0.126,0.132,0.13,0.132,0.135,0.082,0.081,0.083,0.081,0.082,0.081,0.08,0.08,0.083
3:00:00,24.3,0.081,0.081,0.08,0.085,0.081,0.103,0.081,0.082,0.079,0.146,0.131,0.16,0.128,0.154,0.132,0.081,0.084,0.127,0.132,0.126,0.126,0.127,0.131,0.081,0.08,0.142,0.133,0.148,0.126,0.157,0.131,0.081,0.083,0.126,0.126,0.132,0.13,0.132,0.135,0.082,0.081,0.083,0.081,0.082,0.081,0.079,0.08,0.082
3:30:00,24.3,0.081,0.081,0.08,0.085,0.081,0.101,0.081,0.082,0.079,0.147,0.131,0.175,0.128,0.166,0.132,0.081,0.084,0.127,0.133,0.126,0.126,0.127,0.131,0.081,0.08,0.141,0.133,0.148,0.126,0.162,0.131,0.081,0.083,0.126,0.126,0.133,0.13,0.132,0.134,0.082,0.081,0.084,0.081,0.082,0.081,0.079,0.08,0.083
4:00:00,24.4,0.081,0.081,0.08,0.085,0.081,0.102,0.081,0.082,0.079,0.148,0.131,0.182,0.128,0.179,0.132,0.081,0.084,0.127,0.133,0.126,0.126,0.127,0.131,0.081,0.08,0.141,0.133,0.156,0.126,0.162,0.131,0.081,0.083,0.126,0.127,0.133,0.13,0.132,0.135,0.082,0.081,0.084,0.082,0.082,0.081,0.079,0.08,0.083
4:30:00,24.4,0.081,0.081,0.08,0.086,0.081,0.102,0.081,0.082,0.079,0.146,0.131,0.181,0.128,0.193,0.132,0.081,0.084,0.127,0.133,0.126,0.126,0.127,0.131,0.081,0.08,0.143,0.133,0.167,0.126,0.17,0.131,0.081,0.083,0.126,0.127,0.133,0.13,0.132,0.134,0.082,0.081,0.084,0.081,0.082,0.081,0.079,0.08,0.084
5:00:00,24.4,0.081,0.081,0.08,0.086,0.082,0.102,0.081,0.082,0.079,0.145,0.131,0.185,0.128,0.184,0.132,0.081,0.084,0.127,0.133,0.127,0.126,0.127,0.131,0.081,0.08,0.139,0.134,0.174,0.126,0.177,0.131,0.081,0.083,0.126,0.127,0.133,0.13,0.132,0.134,0.082,0.081,0.084,0.082,0.082,0.081,0.08,0.08,0.083
5:30:00,24.4,0.081,0.081,0.08,0.086,0.082,0.102,0.081,0.082,0.079,0.146,0.131,0.189,0.128,0.185,0.132,0.081,0.085,0.127,0.133,0.127,0.126,0.127,0.131,0.081,0.08,0.141,0.134,0.157,0.126,0.169,0.131,0.081,0.083,0.126,0.127,0.133,0.13,0.132,0.134,0.083,0.081,0.084,0.081,0.082,0.082,0.08,0.081,0.084
6:00:00,24.5,0.081,0.081,0.08,0.085,0.081,0.102,0.081,0.082,0.079,0.147,0.131,0.201,0.128,0.178,0.132,0.081,0.085,0.128,0.133,0.127,0.126,0.127,0.131,0.081,0.08,0.143,0.135,0.157,0.126,0.172,0.131,0.081,0.083,0.126,0.128,0.134,0.13,0.132,0.135,0.083,0.081,0.084,0.082,0.082,0.082,0.08,0.08,0.084
6:30:00,24.5,0.081,0.081,0.08,0.087,0.082,0.101,0.081,0.082,0.079,0.147,0.132,0.196,0.128,0.183,0.132,0.081,0.084,0.127,0.134,0.127,0.126,0.127,0.131,0.081,0.08,0.143,0.135,0.162,0.126,0.17,0.131,0.081,0.083,0.126,0.128,0.134,0.13,0.132,0.135,0.082,0.081,0.084,0.082,0.082,0.081,0.08,0.08,0.084
7:00:00,24.5,0.081,0.081,0.08,0.087,0.081,0.103,0.081,0.082,0.079,0.15,0.132,0.185,0.128,0.185,0.132,0.081,0.085,0.127,0.134,0.127,0.126,0.127,0.131,0.081,0.08,0.143,0.136,0.167,0.126,0.179,0.131,0.081,0.083,0.126,0.128,0.134,0.13,0.132,0.135,0.083,0.081,0.084,0.082,0.082,0.081,0.08,0.08,0.084
