Bacterial_ID,Treatment,Growth1,Growth2,Growth3,Hour
363-BC,MF,0.147,0.16,0.157,0
363-BC,MF,0.157,0.174,0.167,0.5
363-BC,MF,0.159,0.176,0.153,1
363-BC,MF,0.155,0.173,0.15,1.5
363-BC,MF,0.154,0.172,0.146,2
363-BC,MF,0.149,0.169,0.144,2.5
363-BC,MF,0.145,0.161,0.142,3
363-BC,MF,0.143,0.164,0.14,3.5
363-BC,MF,0.167,0.162,0.141,4
363-BC,MF,0.145,0.16,0.14,4.5
363-BC,MF,0.149,0.152,0.141,5
363-BC,MF,0.157,0.155,0.143,5.5
363-BC,MF,0.166,0.161,0.148,6
363-BC,MF,0.177,0.166,0.157,6.5
363-BC,MF,0.191,0.169,0.163,7
363-BC,MF,0.196,0.177,0.169,7.5
363-BC,MF,0.207,0.184,0.176,8
363-BC,MF,0.213,0.192,0.182,8.5
363-BC,MF,0.215,0.198,0.188,9
363-BC,MF,0.219,0.203,0.192,9.5
363-BC,MF,0.215,0.204,0.196,10
363-BC,MF,0.213,0.204,0.195,10.5
363-BC,MF,0.205,0.208,0.206,11
363-BC,MF,0.205,0.218,0.212,11.5
363-BC,MF,0.21,0.227,0.223,12
363-BC,MF,0.219,0.235,0.23,12.5
363-BC,MF,0.217,0.243,0.238,13
363-BC,MF,0.227,0.244,0.249,13.5
363-BC,MF,0.229,0.243,0.246,14
363-BC,MF,0.236,0.246,0.255,14.5
363-BC,MF,0.239,0.239,0.257,15
363-BC,MF,0.236,0.253,0.256,15.5
363-BC,MF,0.243,0.25,0.254,16
363-BC,MF,0.248,0.265,0.262,16.5
363-BC,MF,0.261,0.262,0.266,17
363-BC,MF,0.26,0.257,0.259,17.5
363-BC,MF,0.265,0.251,0.253,18
363-BC,MF,0.272,0.261,0.256,18.5
363-BC,MF,0.27,0.247,0.257,19
363-BC,MF,0.281,0.254,0.255,19.5
363-BC,MF,0.273,0.247,0.261,20
363-BC,MF,0.277,0.241,0.274,20.5
363-BC,MF,0.27,0.237,0.267,21
363-BC,MF,0.262,0.221,0.264,21.5
363-BC,MF,0.268,0.235,0.268,22
363-BC,MF,0.268,0.235,0.274,22.5
363-BC,MF,0.267,0.237,0.27,23
363-BC,MF,0.256,0.229,0.257,23.5
363-BC,MF,0.256,0.223,0.25,24
289-BC,M,0.146,0.141,0.143,0
289-BC,M,0.146,0.14,0.142,0.5
289-BC,M,0.145,0.139,0.141,1
289-BC,M,0.144,0.139,0.141,1.5
289-BC,M,0.145,0.139,0.141,2
289-BC,M,0.146,0.141,0.141,2.5
289-BC,M,0.149,0.144,0.143,3
289-BC,M,0.152,0.148,0.145,3.5
289-BC,M,0.155,0.157,0.149,4
289-BC,M,0.161,0.161,0.154,4.5
289-BC,M,0.167,0.176,0.161,5
289-BC,M,0.174,0.178,0.171,5.5
289-BC,M,0.181,0.186,0.177,6
289-BC,M,0.188,0.191,0.184,6.5
289-BC,M,0.193,0.192,0.187,7
289-BC,M,0.198,0.193,0.186,7.5
289-BC,M,0.201,0.194,0.192,8
289-BC,M,0.205,0.192,0.194,8.5
289-BC,M,0.208,0.192,0.195,9
289-BC,M,0.214,0.193,0.198,9.5
289-BC,M,0.215,0.195,0.198,10
289-BC,M,0.23,0.206,0.194,10.5
289-BC,M,0.236,0.22,0.195,11
289-BC,M,0.237,0.227,0.2,11.5
289-BC,M,0.232,0.23,0.199,12
289-BC,M,0.235,0.221,0.197,12.5
289-BC,M,0.22,0.205,0.194,13
289-BC,M,0.206,0.191,0.186,13.5
289-BC,M,0.192,0.178,0.178,14
289-BC,M,0.175,0.172,0.177,14.5
289-BC,M,0.175,0.17,0.173,15
289-BC,M,0.177,0.172,0.172,15.5
289-BC,M,0.18,0.175,0.173,16
289-BC,M,0.188,0.18,0.175,16.5
289-BC,M,0.182,0.194,0.177,17
289-BC,M,0.176,0.182,0.18,17.5
289-BC,M,0.175,0.182,0.184,18
289-BC,M,0.178,0.183,0.184,18.5
289-BC,M,0.18,0.186,0.179,19
289-BC,M,0.181,0.19,0.181,19.5
289-BC,M,0.184,0.191,0.183,20
289-BC,M,0.186,0.193,0.184,20.5
289-BC,M,0.187,0.193,0.186,21
289-BC,M,0.188,0.194,0.188,21.5
289-BC,M,0.189,0.196,0.189,22
289-BC,M,0.191,0.197,0.19,22.5
289-BC,M,0.192,0.199,0.191,23
289-BC,M,0.193,0.2,0.193,23.5
289-BC,M,0.195,0.201,0.194,24
