chickID,weight,tarsus,bci,day,parents,treat,season,survival
Ch9,13,,,4,K,F,summer,survived
Ch9,20,,,5,K,F,summer,survived
Ch9,26,16.5,1.575757576,6,K,F,summer,survived
Ch9,30,,,7,K,F,summer,survived
Ch9,37,,,8,K,F,summer,survived
Ch9,46,,,9,K,F,summer,survived
Ch9,68,,,12,K,F,summer,survived
Ch9,75,,,13,K,F,summer,survived
Ch9,83,,,14,K,F,summer,survived
Ch9,91,,,18,K,F,summer,survived
Ch9,103,,,19,K,F,summer,survived
Ch9,119,,,21,K,F,summer,survived
Ch9,120,21,5.714285714,29,K,F,summer,survived
Ch9,121,,,30,K,F,summer,survived
Ch9,114,,,31,K,F,summer,survived
Ch9,114,,,32,K,F,summer,survived
Ch9,113,,,34,K,F,summer,survived
Ch9,142,21.5,6.604651163,210,K,F,summer,survived
Ch10,8,,,0,J,P,summer,survived
Ch10,16,,,1,J,P,summer,survived
Ch10,26,,,2,J,P,summer,survived
Ch10,36,15,2.4,3,J,P,summer,survived
Ch10,45,,,4,J,P,summer,survived
Ch10,60,,,5,J,P,summer,survived
Ch10,77,,,7,J,P,summer,survived
Ch10,78,,,8,J,P,summer,survived
Ch10,79,,,9,J,P,summer,survived
Ch10,89,,,11,J,P,summer,survived
Ch10,86,,,12,J,P,summer,survived
Ch10,92,21,4.380952381,13,J,P,summer,survived
Ch10,86,,,14,J,P,summer,survived
Ch10,88,,,15,J,P,summer,survived
Ch10,96,,,16,J,P,summer,survived
Ch10,104,,,17,J,P,summer,survived
Ch10,103,22.5,4.577777778,18,J,P,summer,survived
Ch10,99,,,19,J,P,summer,survived
Ch10,108,23,4.695652174,20,J,P,summer,survived
Ch10,115,,,21,J,P,summer,survived
Ch10,108,23,4.695652174,22,J,P,summer,survived
Ch10,113,,,23,J,P,summer,survived
Ch10,114,23,4.956521739,24,J,P,summer,survived
Ch10,116,,,25,J,P,summer,survived
Ch10,119,23,5.173913043,26,J,P,summer,survived
Ch10,119,,,27,J,P,summer,survived
Ch10,119,23.5,5.063829787,28,J,P,summer,survived
Ch10,127,,,32,J,P,summer,survived
Ch10,152,23.5,6.468085106,205,J,P,summer,survived
Ch11,6,,,0,J,Fi,summer,died
Ch11,12,11,1.090909091,2,J,Fi,summer,died
Ch11,15,,,3,J,Fi,summer,died
Ch11,21,,,4,J,Fi,summer,died
