FULL_Label,ID,Sample_ID,REP,FERT,FERT_num,Microbe,Aboveground_g,Belowground_g,Total_g
ID#57_0.5x_MF_R2,57,0.5x_MF,2,0.5X,0.5,fert,0.174,0.031,0.205
ID#58_0.5x_MF_R3,58,0.5x_MF,3,0.5X,0.5,fert,0.303,0.051,0.354
ID#59_0.5x_MF_R4,59,0.5x_MF,4,0.5X,0.5,fert,0.289,0.05,0.339
ID#60_0.5x_MF_R5,60,0.5x_MF,5,0.5X,0.5,fert,0.435,0.133,0.568
ID#61_1x_MF_R1,61,1x_MF,1,1.0X,1,fert,0.163,0.023,0.186
ID#62_1x_MF_R2,62,1x_MF,2,1.0X,1,fert,0.217,0.027,0.244
ID#63_1x_MF_R3,63,1x_MF,3,1.0X,1,fert,0.188,0.05,0.238
ID#64_1x_MF_R4,64,1x_MF,4,1.0X,1,fert,0.343,0.073,0.416
ID#65_1x_MF_R5,65,1x_MF,5,1.0X,1,fert,0.327,0.043,0.37
ID#66_1.5x_MF_R1,66,1.5x_MF,1,1.5X,1.5,fert,0.39,0.081,0.471
ID#67_1.5x_MF_R2,67,1.5x_MF,2,1.5X,1.5,fert,0.213,0.045,0.258
ID#68_1.5x_MF_R3,68,1.5x_MF,3,1.5X,1.5,fert,0.243,0.032,0.275
ID#69_1.5x_MF_R4,69,1.5x_MF,4,1.5X,1.5,fert,0.323,0.14,0.463
ID#70_1.5x_MF_R5,70,1.5x_MF,5,1.5X,1.5,fert,0.238,0.039,0.277
ID#71_2x_MF_R1,71,2x_MF,1,2.0X,2,fert,0.273,0.049,0.322
ID#72_2x_MF_R2,72,2x_MF,2,2.0X,2,fert,0.25,0.037,0.287
ID#73_2x_MF_R3,73,2x_MF,3,2.0X,2,fert,0.366,0.102,0.468
ID#74_2x_MF_R4,74,2x_MF,4,2.0X,2,fert,0.292,0.03,0.322
ID#75_2x_MF_R5,75,2x_MF,5,2.0X,2,fert,0.182,0.056,0.238
