Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
2:30:00,24.2,0.08,0.08,0.081,0.08,0.081,0.081,0.081,0.082,0.081,0.144,0.124,0.144,0.126,0.145,0.126,0.081,0.08,0.125,0.13,0.123,0.124,0.126,0.127,0.081,0.081,0.149,0.125,0.15,0.125,0.148,0.128,0.081,0.08,0.123,0.125,0.128,0.132,0.127,0.131,0.085,0.082,0.081,0.081,0.08,0.08,0.079,0.079,0.08
3:00:00,24.3,0.08,0.081,0.081,0.081,0.081,0.082,0.082,0.082,0.081,0.147,0.124,0.147,0.126,0.148,0.126,0.081,0.081,0.126,0.13,0.123,0.124,0.126,0.127,0.082,0.081,0.152,0.125,0.153,0.125,0.151,0.128,0.081,0.08,0.123,0.125,0.128,0.132,0.127,0.131,0.085,0.082,0.081,0.081,0.08,0.08,0.079,0.079,0.08
3:30:00,24.4,0.08,0.08,0.08,0.08,0.081,0.081,0.081,0.082,0.081,0.15,0.124,0.15,0.126,0.151,0.126,0.081,0.08,0.125,0.13,0.123,0.124,0.126,0.127,0.081,0.081,0.156,0.125,0.158,0.125,0.155,0.128,0.081,0.08,0.123,0.125,0.128,0.132,0.127,0.13,0.085,0.082,0.08,0.081,0.08,0.08,0.079,0.079,0.08
4:00:00,24.5,0.08,0.08,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.154,0.124,0.156,0.126,0.155,0.126,0.081,0.081,0.126,0.13,0.123,0.124,0.126,0.127,0.082,0.081,0.161,0.125,0.164,0.125,0.16,0.128,0.081,0.08,0.123,0.125,0.128,0.133,0.127,0.13,0.085,0.082,0.081,0.081,0.08,0.08,0.079,0.079,0.08
4:30:00,24.5,0.08,0.08,0.081,0.08,0.081,0.082,0.082,0.082,0.081,0.158,0.124,0.161,0.126,0.159,0.126,0.081,0.081,0.126,0.131,0.123,0.124,0.126,0.127,0.082,0.081,0.165,0.125,0.169,0.125,0.165,0.128,0.081,0.08,0.123,0.125,0.128,0.133,0.127,0.131,0.085,0.082,0.081,0.081,0.081,0.08,0.08,0.08,0.08
5:00:00,24.5,0.08,0.081,0.081,0.08,0.081,0.082,0.082,0.082,0.081,0.164,0.125,0.167,0.126,0.165,0.126,0.081,0.081,0.126,0.131,0.123,0.124,0.126,0.127,0.082,0.081,0.171,0.125,0.175,0.125,0.17,0.128,0.082,0.08,0.123,0.125,0.129,0.133,0.127,0.131,0.085,0.083,0.081,0.081,0.081,0.081,0.08,0.08,0.08
5:30:00,24.5,0.08,0.08,0.08,0.08,0.081,0.082,0.082,0.082,0.081,0.169,0.125,0.174,0.126,0.171,0.126,0.081,0.081,0.126,0.131,0.123,0.124,0.126,0.127,0.082,0.081,0.178,0.126,0.182,0.125,0.175,0.128,0.081,0.08,0.123,0.125,0.129,0.134,0.127,0.131,0.085,0.083,0.081,0.081,0.081,0.081,0.08,0.079,0.08
6:00:00,24.4,0.08,0.08,0.081,0.08,0.081,0.082,0.082,0.082,0.081,0.176,0.125,0.182,0.126,0.178,0.126,0.081,0.081,0.126,0.132,0.123,0.124,0.126,0.127,0.082,0.081,0.185,0.126,0.188,0.125,0.181,0.128,0.082,0.08,0.123,0.125,0.129,0.134,0.127,0.131,0.085,0.083,0.081,0.081,0.081,0.081,0.079,0.08,0.08
6:30:00,24.5,0.08,0.081,0.08,0.08,0.081,0.082,0.082,0.083,0.081,0.182,0.125,0.189,0.126,0.184,0.126,0.081,0.081,0.126,0.132,0.123,0.124,0.126,0.127,0.082,0.081,0.194,0.126,0.197,0.125,0.188,0.128,0.082,0.08,0.123,0.125,0.129,0.135,0.127,0.13,0.085,0.082,0.081,0.081,0.081,0.081,0.08,0.08,0.08
7:00:00,24.5,0.08,0.08,0.081,0.08,0.081,0.082,0.082,0.083,0.081,0.185,0.125,0.197,0.126,0.19,0.126,0.081,0.081,0.126,0.132,0.123,0.124,0.126,0.127,0.082,0.081,0.206,0.126,0.206,0.125,0.195,0.128,0.082,0.081,0.123,0.126,0.129,0.135,0.128,0.13,0.085,0.083,0.081,0.081,0.081,0.081,0.08,0.08,0.081
7:30:00,24.5,0.08,0.081,0.08,0.08,0.081,0.082,0.082,0.083,0.081,0.186,0.125,0.209,0.126,0.197,0.126,0.081,0.081,0.126,0.133,0.123,0.124,0.126,0.127,0.082,0.081,0.212,0.126,0.22,0.125,0.205,0.128,0.082,0.08,0.123,0.126,0.129,0.135,0.127,0.131,0.085,0.083,0.081,0.081,0.081,0.081,0.08,0.08,0.081
8:00:00,24.5,0.08,0.081,0.081,0.08,0.081,0.082,0.082,0.083,0.081,0.188,0.125,0.226,0.126,0.213,0.126,0.081,0.081,0.126,0.133,0.123,0.124,0.126,0.127,0.082,0.081,0.227,0.126,0.229,0.125,0.209,0.128,0.082,0.08,0.123,0.126,0.129,0.135,0.127,0.13,0.085,0.083,0.081,0.081,0.081,0.081,0.08,0.08,0.081
8:30:00,24.5,0.081,0.081,0.081,0.08,0.081,0.082,0.082,0.083,0.081,0.191,0.125,0.264,0.126,0.24,0.126,0.082,0.081,0.126,0.133,0.124,0.124,0.126,0.127,0.082,0.081,0.251,0.126,0.243,0.125,0.22,0.128,0.082,0.08,0.123,0.126,0.13,0.135,0.128,0.13,0.085,0.083,0.081,0.081,0.081,0.081,0.08,0.08,0.081
9:00:00,24.5,0.081,0.081,0.081,0.081,0.082,0.082,0.082,0.083,0.082,0.196,0.126,0.308,0.126,0.274,0.126,0.082,0.081,0.126,0.134,0.124,0.124,0.126,0.127,0.082,0.081,0.267,0.127,0.253,0.125,0.232,0.128,0.082,0.081,0.123,0.126,0.13,0.136,0.128,0.13,0.085,0.083,0.081,0.081,0.081,0.081,0.08,0.08,0.081
