Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
2:30:00,24.3,0.08,0.083,0.084,0.08,0.081,0.082,0.083,0.082,0.083,0.146,0.126,0.141,0.126,0.141,0.127,0.081,0.081,0.128,0.128,0.124,0.125,0.128,0.126,0.087,0.082,0.149,0.125,0.169,0.125,0.144,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.129,0.098,0.089,0.083,0.081,0.08,0.083,0.082,0.082,0.092
3:00:00,24.3,0.08,0.083,0.081,0.08,0.081,0.082,0.082,0.082,0.083,0.149,0.126,0.144,0.126,0.143,0.127,0.081,0.081,0.127,0.128,0.124,0.125,0.127,0.126,0.087,0.08,0.145,0.125,0.161,0.125,0.142,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.129,0.098,0.089,0.082,0.081,0.08,0.083,0.082,0.081,0.091
3:30:00,24.4,0.08,0.083,0.08,0.08,0.081,0.082,0.082,0.082,0.083,0.152,0.127,0.148,0.126,0.145,0.128,0.081,0.081,0.127,0.128,0.124,0.125,0.127,0.126,0.087,0.08,0.143,0.125,0.164,0.125,0.14,0.126,0.081,0.081,0.125,0.13,0.127,0.126,0.126,0.129,0.097,0.089,0.082,0.081,0.08,0.083,0.082,0.082,0.091
4:00:00,24.4,0.08,0.083,0.08,0.08,0.081,0.082,0.083,0.082,0.083,0.155,0.127,0.157,0.126,0.149,0.128,0.081,0.081,0.128,0.128,0.124,0.125,0.128,0.126,0.088,0.081,0.167,0.125,0.162,0.125,0.141,0.126,0.081,0.081,0.125,0.132,0.128,0.126,0.126,0.129,0.098,0.089,0.083,0.082,0.08,0.083,0.082,0.082,0.092
4:30:00,24.4,0.08,0.083,0.083,0.08,0.081,0.082,0.082,0.082,0.083,0.161,0.126,0.161,0.126,0.154,0.127,0.081,0.081,0.128,0.128,0.124,0.125,0.127,0.126,0.087,0.081,0.145,0.125,0.16,0.124,0.14,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.129,0.098,0.089,0.082,0.081,0.08,0.083,0.082,0.081,0.092
5:00:00,24.4,0.08,0.083,0.08,0.08,0.081,0.082,0.082,0.082,0.083,0.167,0.127,0.176,0.126,0.161,0.127,0.081,0.081,0.127,0.128,0.124,0.125,0.127,0.126,0.087,0.081,0.149,0.125,0.152,0.125,0.141,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.129,0.098,0.089,0.083,0.081,0.08,0.083,0.082,0.082,0.092
5:30:00,24.5,0.08,0.083,0.08,0.08,0.081,0.082,0.083,0.082,0.083,0.174,0.127,0.178,0.126,0.171,0.127,0.081,0.081,0.128,0.128,0.125,0.125,0.128,0.126,0.087,0.081,0.157,0.125,0.155,0.125,0.143,0.126,0.081,0.081,0.125,0.132,0.128,0.126,0.126,0.13,0.098,0.089,0.083,0.082,0.08,0.083,0.082,0.081,0.092
6:00:00,24.5,0.08,0.083,0.08,0.08,0.081,0.082,0.082,0.082,0.083,0.181,0.127,0.186,0.126,0.177,0.127,0.081,0.081,0.128,0.128,0.124,0.125,0.127,0.126,0.087,0.081,0.166,0.125,0.161,0.125,0.148,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.129,0.098,0.089,0.082,0.081,0.08,0.083,0.082,0.081,0.092
6:30:00,24.4,0.08,0.083,0.08,0.08,0.082,0.082,0.083,0.082,0.083,0.188,0.127,0.191,0.126,0.184,0.127,0.082,0.081,0.128,0.128,0.125,0.125,0.127,0.126,0.087,0.081,0.177,0.125,0.166,0.125,0.157,0.126,0.081,0.081,0.125,0.132,0.128,0.126,0.126,0.13,0.098,0.089,0.083,0.082,0.08,0.083,0.082,0.082,0.092
7:00:00,24.5,0.08,0.083,0.083,0.08,0.081,0.082,0.083,0.082,0.083,0.193,0.127,0.192,0.126,0.187,0.127,0.081,0.081,0.128,0.128,0.125,0.125,0.127,0.126,0.087,0.081,0.191,0.125,0.169,0.125,0.163,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.13,0.098,0.089,0.083,0.082,0.08,0.083,0.082,0.082,0.092
7:30:00,24.5,0.08,0.083,0.08,0.08,0.082,0.082,0.083,0.082,0.083,0.198,0.127,0.193,0.126,0.186,0.127,0.082,0.081,0.128,0.128,0.125,0.125,0.127,0.126,0.087,0.081,0.196,0.126,0.177,0.125,0.169,0.126,0.081,0.081,0.125,0.132,0.128,0.126,0.126,0.13,0.098,0.089,0.083,0.082,0.08,0.083,0.082,0.082,0.092
8:00:00,24.5,0.08,0.083,0.08,0.08,0.082,0.082,0.083,0.082,0.083,0.201,0.127,0.194,0.126,0.192,0.127,0.082,0.081,0.128,0.128,0.125,0.125,0.127,0.126,0.087,0.081,0.207,0.126,0.184,0.125,0.176,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.13,0.098,0.089,0.083,0.082,0.081,0.083,0.082,0.082,0.092
8:30:00,24.6,0.08,0.083,0.08,0.08,0.081,0.082,0.083,0.082,0.083,0.205,0.127,0.192,0.126,0.194,0.128,0.082,0.081,0.128,0.129,0.125,0.125,0.128,0.126,0.088,0.081,0.213,0.126,0.192,0.125,0.182,0.126,0.081,0.081,0.125,0.132,0.128,0.126,0.126,0.13,0.098,0.089,0.083,0.082,0.081,0.083,0.082,0.082,0.092
9:00:00,24.5,0.08,0.083,0.08,0.08,0.081,0.082,0.083,0.082,0.083,0.208,0.127,0.192,0.126,0.195,0.127,0.082,0.081,0.128,0.128,0.125,0.125,0.127,0.126,0.087,0.081,0.215,0.126,0.198,0.125,0.188,0.126,0.081,0.081,0.125,0.132,0.128,0.126,0.126,0.13,0.098,0.09,0.083,0.082,0.08,0.083,0.082,0.082,0.092
9:30:00,24.5,0.08,0.084,0.081,0.08,0.081,0.082,0.083,0.082,0.083,0.214,0.127,0.193,0.126,0.198,0.127,0.082,0.081,0.128,0.129,0.125,0.125,0.127,0.126,0.087,0.081,0.219,0.126,0.203,0.125,0.192,0.126,0.081,0.081,0.125,0.132,0.128,0.126,0.126,0.13,0.098,0.09,0.083,0.082,0.08,0.083,0.082,0.082,0.093
10:00:00,24.6,0.08,0.083,0.08,0.08,0.082,0.082,0.083,0.082,0.083,0.215,0.127,0.195,0.126,0.198,0.128,0.082,0.081,0.128,0.129,0.125,0.125,0.127,0.126,0.087,0.081,0.215,0.126,0.204,0.125,0.196,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.13,0.098,0.09,0.083,0.082,0.08,0.083,0.082,0.082,0.093
10:30:00,24.6,0.08,0.083,0.08,0.08,0.082,0.083,0.083,0.083,0.083,0.23,0.127,0.206,0.126,0.194,0.127,0.082,0.081,0.128,0.128,0.125,0.125,0.127,0.126,0.088,0.081,0.213,0.126,0.204,0.125,0.195,0.126,0.081,0.081,0.125,0.132,0.128,0.126,0.126,0.13,0.098,0.09,0.083,0.082,0.081,0.083,0.082,0.082,0.093
11:00:00,24.6,0.08,0.083,0.08,0.08,0.082,0.082,0.083,0.082,0.083,0.236,0.127,0.22,0.126,0.195,0.128,0.082,0.081,0.128,0.128,0.125,0.125,0.127,0.126,0.087,0.081,0.205,0.126,0.208,0.125,0.206,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.129,0.098,0.09,0.083,0.082,0.08,0.083,0.082,0.082,0.093
11:30:00,24.6,0.08,0.083,0.08,0.08,0.082,0.082,0.083,0.082,0.083,0.237,0.127,0.227,0.126,0.2,0.127,0.082,0.081,0.128,0.128,0.125,0.125,0.127,0.126,0.088,0.081,0.205,0.126,0.218,0.125,0.212,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.129,0.098,0.09,0.083,0.082,0.081,0.083,0.082,0.082,0.093
12:00:00,24.6,0.08,0.083,0.08,0.08,0.082,0.082,0.083,0.082,0.083,0.232,0.127,0.23,0.126,0.199,0.127,0.082,0.081,0.128,0.128,0.125,0.125,0.127,0.126,0.087,0.081,0.21,0.126,0.227,0.125,0.223,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.129,0.098,0.09,0.083,0.082,0.08,0.083,0.082,0.082,0.093
12:30:00,24.6,0.08,0.085,0.08,0.08,0.082,0.082,0.083,0.083,0.083,0.235,0.127,0.221,0.126,0.197,0.127,0.082,0.081,0.128,0.129,0.125,0.125,0.127,0.126,0.087,0.081,0.219,0.126,0.235,0.125,0.23,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.129,0.098,0.09,0.083,0.082,0.08,0.083,0.082,0.082,0.093
