Bacterial_ID,Treatment,Growth1,Growth2,Growth3,Hour
320-LC,MF,0.143,0.145,0.157,0
320-LC,MF,0.144,0.148,0.16,0.5
320-LC,MF,0.146,0.151,0.161,1
320-LC,MF,0.15,0.155,0.163,1.5
320-LC,MF,0.156,0.159,0.171,2
320-LC,MF,0.16,0.164,0.175,2.5
320-LC,MF,0.164,0.177,0.186,3
320-LC,MF,0.168,0.176,0.184,3.5
320-LC,MF,0.171,0.179,0.192,4
320-LC,MF,0.18,0.187,0.195,4.5
320-LC,MF,0.188,0.196,0.202,5
320-LC,MF,0.189,0.196,0.205,5.5
320-LC,MF,0.193,0.201,0.206,6
320-LC,MF,0.2,0.207,0.213,6.5
320-LC,MF,0.202,0.211,0.223,7
320-LC,MF,0.205,0.217,0.224,7.5
320-LC,MF,0.206,0.219,0.226,8
320-LC,MF,0.21,0.225,0.23,8.5
320-LC,MF,0.214,0.228,0.236,9
320-LC,MF,0.217,0.234,0.242,9.5
320-LC,MF,0.22,0.234,0.242,10
320-LC,MF,0.22,0.239,0.243,10.5
320-LC,MF,0.218,0.241,0.24,11
320-LC,MF,0.22,0.244,0.241,11.5
320-LC,MF,0.223,0.249,0.247,12
320-LC,MF,0.223,0.248,0.245,12.5
320-LC,MF,0.222,0.253,0.243,13
320-LC,MF,0.223,0.252,0.246,13.5
320-LC,MF,0.224,0.255,0.246,14
320-LC,MF,0.225,0.261,0.25,14.5
320-LC,MF,0.228,0.262,0.254,15
320-LC,MF,0.229,0.262,0.255,15.5
320-LC,MF,0.225,0.265,0.255,16
320-LC,MF,0.224,0.258,0.252,16.5
320-LC,MF,0.227,0.257,0.258,17
320-LC,MF,0.228,0.263,0.256,17.5
320-LC,MF,0.229,0.286,0.25,18
320-LC,MF,0.23,0.277,0.251,18.5
320-LC,MF,0.228,0.288,0.25,19
320-LC,MF,0.229,0.289,0.251,19.5
320-LC,MF,0.228,0.299,0.249,20
320-LC,MF,0.233,0.305,0.249,20.5
320-LC,MF,0.233,0.311,0.253,21
320-LC,MF,0.229,0.308,0.253,21.5
320-LC,MF,0.218,0.303,0.246,22
320-LC,MF,0.227,0.293,0.264,22.5
320-LC,MF,0.245,0.29,0.273,23
320-LC,MF,0.25,0.293,0.278,23.5
320-LC,MF,0.258,0.295,0.282,24
278-LC,M,0.138,0.138,0.141,0
278-LC,M,0.137,0.138,0.141,0.5
278-LC,M,0.137,0.138,0.14,1
278-LC,M,0.138,0.138,0.141,1.5
278-LC,M,0.14,0.14,0.142,2
278-LC,M,0.142,0.142,0.144,2.5
278-LC,M,0.146,0.146,0.146,3
278-LC,M,0.151,0.15,0.15,3.5
278-LC,M,0.157,0.156,0.155,4
278-LC,M,0.164,0.162,0.162,4.5
278-LC,M,0.171,0.17,0.169,5
278-LC,M,0.178,0.173,0.175,5.5
278-LC,M,0.183,0.178,0.181,6
278-LC,M,0.186,0.184,0.187,6.5
278-LC,M,0.194,0.187,0.195,7
278-LC,M,0.2,0.19,0.201,7.5
278-LC,M,0.2,0.195,0.209,8
278-LC,M,0.204,0.201,0.213,8.5
278-LC,M,0.21,0.207,0.223,9
278-LC,M,0.216,0.212,0.233,9.5
278-LC,M,0.225,0.217,0.235,10
278-LC,M,0.228,0.222,0.245,10.5
278-LC,M,0.239,0.229,0.253,11
278-LC,M,0.247,0.241,0.264,11.5
278-LC,M,0.247,0.241,0.263,12
278-LC,M,0.261,0.25,0.273,12.5
278-LC,M,0.273,0.256,0.285,13
278-LC,M,0.275,0.27,0.283,13.5
278-LC,M,0.288,0.267,0.296,14
278-LC,M,0.297,0.281,0.307,14.5
278-LC,M,0.299,0.286,0.314,15
278-LC,M,0.308,0.294,0.329,15.5
278-LC,M,0.316,0.293,0.334,16
278-LC,M,0.324,0.304,0.346,16.5
278-LC,M,0.32,0.312,0.346,17
278-LC,M,0.334,0.315,0.356,17.5
278-LC,M,0.344,0.312,0.358,18
278-LC,M,0.356,0.317,0.364,18.5
278-LC,M,0.344,0.331,0.374,19
278-LC,M,0.363,0.335,0.353,19.5
278-LC,M,0.377,0.339,0.371,20
278-LC,M,0.382,0.338,0.35,20.5
278-LC,M,0.387,0.348,0.359,21
278-LC,M,0.358,0.354,0.367,21.5
278-LC,M,0.387,0.353,0.369,22
278-LC,M,0.395,0.355,0.378,22.5
278-LC,M,0.375,0.348,0.389,23
278-LC,M,0.402,0.356,0.392,23.5
278-LC,M,0.408,0.36,0.394,24
